,wholesaler id,blacklisted
0,29804035,[]
1,29379593,[]
2,29379089,[]
3,29379604,[]
4,29379608,[]
5,29379609,[]
6,29379610,[]
7,29379611,[]
8,29379612,[]
9,29379613,[]
10,29379101,[]
11,29379615,[]
12,29607967,[]
13,29379618,[]
14,29379619,[]
15,29379620,[]
16,29379621,[]
17,29379622,[]
18,29379623,[]
19,29379625,[]
20,29379626,[]
21,29379627,[]
22,29379116,[]
23,29379628,[]
24,29379632,[]
25,29379633,[]
26,29379635,[]
27,29379639,[]
28,29379641,[]
29,29379642,[]
30,29986364,[]
31,29724733,[]
32,29379646,[]
33,29750335,[]
34,29379650,[]
35,29379651,[]
36,29839429,[]
37,29379657,[]
38,29379658,[]
39,29379661,[]
40,29379663,[]
41,29379664,[]
42,29801553,[]
43,29379666,[]
44,29379667,[]
45,29379668,[]
46,29379671,[]
47,29379672,[]
48,29379673,[]
49,29379676,[]
50,29379677,[]
51,40016990,[]
52,29379678,[]
53,29379680,[]
54,29379681,[]
55,29379682,[]
56,29379684,[]
57,29564005,[]
58,29840997,[]
59,29379687,[]
60,29563495,[]
61,29379686,[]
62,29379690,[]
63,29379692,[]
64,29379694,[]
65,29379695,[]
66,29379696,[]
67,29430384,[]
68,29379698,[]
69,29446255,[]
70,29379701,[]
71,29379702,[]
72,29379708,[]
73,29610633,[]
74,29799562,[]
75,29983887,[]
76,29643421,[]
77,29780131,[]
78,29379236,[]
79,29563563,[]
80,29793472,[]
81,40007881,[]
82,29379283,[]
83,29988565,[]
84,29727962,[]
85,29378784,[]
86,29378785,[]
87,40002273,[]
88,29379815,[]
89,29379818,[]
90,29379819,[]
91,29379820,[]
92,29635311,[]
93,29379824,[]
94,29379826,[]
95,29379827,[]
96,29379828,[]
97,29379829,[]
98,29379830,[]
99,29379831,[]
100,29379833,[]
101,29683450,[]
102,29379835,[]
103,29379836,[]
104,29379834,[]
105,29379838,[]
106,29379840,[]
107,29379841,[]
108,29379842,[]
109,29379843,[]
110,29379844,[]
111,29379845,[]
112,29379846,[]
113,29379849,[]
114,29379850,[]
115,29379853,[]
116,29379855,[]
117,29379857,[]
118,29379858,[]
119,29379859,[]
120,29379860,[]
121,29379861,[]
122,29379862,[]
123,29379863,[]
124,29379865,[]
125,29379866,[]
126,29630747,[]
127,29832988,[]
128,29379360,[]
129,29379363,[]
130,29596966,[]
131,29379377,[]
132,29379894,[]
133,29379896,[]
134,29379901,[]
135,29379905,[]
136,40001857,[]
137,29722953,[]
138,29379915,[]
139,29379916,[]
140,29378892,[]
141,29378895,[]
142,29378896,[]
143,29431121,[]
144,29756769,[]
145,29379437,[]
146,29378933,[]
147,29595514,[]
148,29801344,[]
149,29974413,[]
150,29378966,[]
151,29378967,[]
152,29563809,[]
153,29563814,[]
154,29563817,[]
155,29563820,[]
156,29378992,[]
157,29563827,[]
158,29563830,[]
159,29563832,[]
160,29563833,[]
161,29563834,[]
162,29379001,[]
163,29563836,[]
164,29563837,[]
165,29379002,[]
166,29996995,[]
167,29996996,[]
168,29379015,[]
169,29606863,[]
170,29379537,[]
171,29379538,[]
172,29537235,[]
173,29425623,[]
174,29379556,[]
175,29833190,[]
176,29379566,[]
177,29379058,[]
178,29379067,[]
