id,location,products,groupement,subgroupement
29804035,"(47.7993, -0.721)","[18690, 20614, 72328, 71316, 78356, 64665, 48537, 70572, 66989, 68280, 19898, 61629, 10946, 10947, 59847, 59848, 70601, 3530, 10957, 10958, 3450, 48859, 59873, 59874, 62707, 11766, 63480, 63481, 63482]",NATIONAL CUSTOMER,NEODIF
29379593,"(46.3728, -0.4721)","[77313, 18690, 17028, 20614, 72328, 3337, 3338, 63627, 71316, 71317, 77589, 48537, 77721, 63908, 21416, 3372, 66989, 57005, 70572, 80176, 15793, 66738, 11574, 33335, 19898, 61629, 10946, 10947, 59847, 59848, 70601, 3530, 37961, 10957, 76623, 63311, 29777, 3410, 10965, 63445, 74582, 64601, 5983, 59873, 59874, 60387, 30822, 54632, 67049, 43113, 54639, 10611, 62707, 9974, 11766, 63480, 63481, 3450, 6013]",DISTRIBOISSONS,LA ROCHELLE BOISSONS
29379089,"(43.1619, -0.9016)","[59873, 10946, 59874, 54632, 6013, 29777, 66738, 70579, 62706, 10965, 11574, 19898, 55357]",C10,PINQUE
29379604,"(45.2397, 4.6707)","[81408, 77313, 18690, 81410, 17028, 20614, 72328, 3337, 3338, 18827, 75534, 69265, 71316, 71317, 78356, 77589, 48537, 64665, 77721, 80417, 3372, 66989, 70572, 15793, 79923, 70579, 11574, 33335, 19898, 61629, 53566, 10946, 10947, 70601, 3530, 10957, 63311, 76623, 3411, 10965, 74582, 54232, 64601, 48859, 59873, 59874, 74342, 54632, 43113, 62706, 10611, 62707, 11766, 9974, 63480, 63481, 65660, 6013]",DISTRIBOISSONS,ANNONAY BOISSONS
29379608,"(44.662, 1.4835)","[77313, 60036, 20614, 3337, 69265, 78355, 71317, 66839, 48537, 3372, 57005, 66989, 70579, 11574, 19898, 61629, 10946, 10947, 59847, 59848, 70601, 10957, 63311, 10965, 54232, 59874, 74342, 54632, 78313, 67049, 43113, 62706, 10611, 62707, 9974, 11766, 65660, 6013]",INDEPENDANTS,DEVIERS FRESQUET BOISSONS
29379609,"(44.3993, 0.5912)","[77313, 18690, 17028, 58245, 20614, 72328, 3337, 3338, 63627, 18827, 75534, 69265, 71316, 71317, 59286, 77589, 66839, 48537, 77721, 64665, 80417, 3372, 66989, 57005, 70572, 15793, 66738, 70579, 11574, 33335, 15800, 19898, 61629, 53566, 10946, 10947, 59847, 70601, 3530, 10957, 63311, 76623, 3410, 10965, 74582, 74583, 54232, 59873, 59874, 54632, 43113, 65642, 54639, 62706, 62707, 9974, 11766, 63480, 65660, 6013]",C10,MOLINIE BOISSONS
29379610,"(47.3556, -0.8589)","[81408, 77313, 18690, 81410, 17028, 58245, 20614, 72328, 3337, 3338, 63627, 18827, 69265, 71316, 71317, 77589, 78356, 66839, 48537, 64665, 77721, 80417, 3372, 66989, 57005, 70572, 80176, 15793, 66738, 70579, 11574, 33335, 19898, 61629, 53566, 39616, 10946, 10947, 59848, 70601, 3530, 37961, 70605, 10957, 63311, 76623, 29777, 3410, 3411, 10965, 5983, 60387, 30822, 74342, 67049, 65642, 43113, 15985, 62706, 10611, 62707, 11766, 9974, 63480, 63481, 65660, 6013]",C10,ETS PLUMEJEAU
29379611,"(48.7167, -1.5)","[81408, 77313, 18690, 81410, 60036, 75909, 20614, 3337, 3338, 71316, 71317, 48537, 77721, 59940, 59942, 77995, 3372, 66989, 57005, 70572, 80176, 15793, 66738, 70579, 63285, 11574, 33335, 19898, 61629, 10946, 10947, 59847, 59848, 37961, 70601, 10957, 70605, 63311, 76623, 3410, 10965, 74582, 54232, 5983, 30822, 74342, 54632, 43113, 15985, 62706, 10611, 62707, 9974, 65660, 6013]",C10,MALPLANCHE
29379612,"(49.0667, 3.9667)","[77313, 18690, 60036, 58245, 20614, 16519, 3337, 3338, 63627, 18827, 75534, 78355, 71316, 71317, 77589, 66839, 48537, 77721, 40093, 3372, 66989, 57005, 70572, 80176, 15793, 79923, 70579, 11574, 33335, 15800, 19898, 61629, 53566, 47934, 10946, 10947, 59847, 37961, 10957, 63311, 76623, 29777, 3410, 3411, 9937, 10965, 74583, 54232, 66780, 5983, 59873, 59874, 30822, 54632, 43113, 63466, 54639, 15985, 62706, 10611, 62707, 9974, 11766, 65660, 6013, 77311]",C10,DOQUET
29379613,"(49.25, 4.0333)","[77313, 18690, 17028, 58245, 20614, 16519, 72328, 3338, 63627, 18827, 64272, 78355, 71316, 77589, 71317, 66839, 59286, 77721, 48537, 64665, 16550, 77995, 3372, 66989, 57005, 80176, 15793, 62770, 79923, 70579, 11574, 33335, 15800, 19898, 61629, 55357, 53566, 47934, 10946, 10947, 59847, 59848, 70601, 37961, 10957, 76623, 63311, 3410, 3411, 10965, 74582, 74583, 54232, 64601, 66780, 5983, 59873, 59874, 60387, 72548, 30822, 54632, 43113, 67561, 67562, 67049, 63466, 54639, 62706, 62707, 10611, 11766, 9974, 63481, 63482, 6013]",C10,SOREDIS
29379101,"(47.8192, -0.2392)","[77313, 18690, 81410, 75909, 20614, 3337, 63627, 18827, 69265, 71316, 78356, 77589, 71317, 48537, 64665, 80417, 74529, 3372, 66989, 70572, 70579, 11574, 33335, 19898, 61629, 10946, 10947, 59847, 59848, 70601, 10957, 63311, 76623, 3410, 10965, 54232, 5983, 59873, 59874, 74342, 30822, 54632, 78313, 43113, 62706, 62707, 9974, 11766, 63481, 6013]",C10,STOKBOX
29379615,"(48.0667, -0.7667)","[77313, 18690, 60036, 17028, 20614, 72328, 3337, 63627, 18827, 75534, 71316, 77589, 71317, 50453, 66839, 48537, 64665, 3372, 57005, 66989, 70572, 80176, 66738, 79923, 70579, 11574, 33335, 19898, 61629, 53566, 10946, 10947, 76611, 59847, 59848, 70601, 10957, 10958, 76623, 67151, 29777, 3410, 10965, 54232, 5983, 59873, 59874, 72548, 54632, 43113, 62706, 10611, 62707, 11766, 9974, 6013]",INDEPENDANTS,OUEST BOISSONS
29607967,"(45.6679, 4.8963)","[77313, 20614, 3337, 3338, 63627, 18827, 71316, 71317, 77589, 77721, 3372, 70572, 15793, 11574, 33335, 19898, 61629, 10946, 10947, 59847, 59848, 37961, 10957, 76623, 3410, 3411, 10965, 63445, 54232, 60505, 64601, 5983, 59873, 59874, 72548, 30822, 54632, 43113, 62706, 62707, 9974, 11766, 6013]",FRANCE BOISSONS,France BOISSONS
29379618,"(43.6109, 3.8772)","[77313, 20614, 3337, 3338, 63627, 71316, 71317, 77589, 66839, 77721, 3372, 66989, 57005, 80176, 15793, 70579, 11574, 33335, 19898, 61629, 10946, 10947, 59847, 59848, 70601, 37961, 10957, 76623, 63311, 3410, 3411, 10965, 54232, 48859, 66780, 59873, 59874, 72548, 30822, 54632, 67049, 43113, 62706, 11766, 9974, 6013]",DISTRIBOISSONS,MONTANER
29379619,"(43.4018, 3.6966)","[77313, 20614, 3337, 3338, 18827, 77589, 71317, 3372, 70572, 11574, 33335, 15800, 10946, 10947, 10957, 76623, 3410, 3411, 10965, 54232, 59873, 59874, 43113, 62707, 11766, 9974, 6013]",C10,FOUILLADE LUCIEN
29379620,"(43.2698, 3.2234)","[77313, 17028, 20614, 3337, 3338, 63627, 18827, 78355, 71316, 71317, 77589, 66839, 48537, 77721, 63908, 77995, 3372, 57005, 66989, 70572, 80176, 15793, 66738, 3507, 70579, 11574, 33335, 15800, 19898, 61629, 47934, 10946, 10947, 59847, 59848, 37961, 10957, 76623, 63311, 3410, 10965, 63445, 54232, 59873, 59874, 60387, 72548, 30822, 54632, 67049, 43113, 54639, 62706, 62707, 11766, 9974, 65660, 6013]",C10,BOISSONS DISTRIBUTION
29379621,"(48.1211, -1.4597)","[77313, 20614, 3337, 63627, 77589, 71317, 3372, 66989, 57005, 80176, 79923, 11574, 33335, 19898, 10946, 10947, 59847, 59848, 37961, 10957, 76623, 63311, 29777, 3410, 63445, 10965, 54232, 5983, 59873, 59874, 72548, 54632, 67561, 43113, 10611, 62707, 11766, 9974, 6013]",FRANCE BOISSONS,France BOISSONS
29379622,"(47.8924, -1.991)","[77313, 18690, 20614, 3337, 63627, 71316, 71317, 48537, 64665, 3372, 66989, 57005, 80176, 66738, 11574, 33335, 19898, 61629, 53566, 10946, 10947, 59847, 59848, 70601, 3530, 10957, 3410, 10965, 63445, 54232, 64601, 5983, 59873, 59874, 54632, 11766, 9974, 63481, 3450, 6013]",C10,BARRE
